Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude
Ad Dar Al Baida,Metro Station,8,4.9,46.7763009,24.5599956
Ad Dar Al Baida,Metro Station,2,5,46.7763908,24.5601018
Western Station,Metro Station,1,1,46.6144964,24.5819475
Western Station,Metro Station,,,46.6148108,24.5819557
Al Aziziah,Metro Station,1,4,46.760823,24.5872573
Al Aziziah,Metro Station,9,4.3,46.7609038,24.5873308
Aishah bint Abi Bakr Street,Metro Station,1,5,46.6437994,24.6005633
Aishah bint Abi Bakr Street,Metro Station,6,5,46.6438533,24.6006204
Al Iman Hospital,Metro Station,2,5,46.7358408,24.6005143
Al Iman Hospital,Metro Station,1,5,46.7356881,24.6007185
Transportation Center,Metro Station,4,5,46.7451024,24.5982926
Transportation Center,Metro Station,3,3.7,46.7451563,24.5982436
Dhahrat Al Badiah,Metro Station,3,4.3,46.6537887,24.606738
Dhahrat Al Badiah,Metro Station,2,5,46.6539324,24.6067298
Manfouhah,Metro Station,9,4.3,46.7275224,24.6105439
Manfouhah,Metro Station,3,5,46.7273877,24.6105766
Sultanah,Metro Station,,,46.6864245,24.6149704
Sultanah,Metro Station,5,5,46.6868108,24.6149786
Al Jarradiyah,Metro Station,,,46.6974109,24.6182534
Al Jarradiyah,Metro Station,2,5,46.6977522,24.6184004
Skirinah,Metro Station,,,46.7253485,24.6178532
Skirinah,Metro Station,4,3.5,46.7252227,24.6178941
Courts Complex,Metro Station,7,3.3,46.712296,24.6267301
Courts Complex,Metro Station,,,46.7125475,24.6269097
Al Owd,Metro Station,,,46.7215127,24.6255297
Al Owd,Metro Station,1,5,46.7214498,24.6257338
Qasr Al Hokm,Metro Station,10,4.4,46.7162036,24.6289022
Qasr Al Hokm,Metro Station,5,4.2,46.7162396,24.6289104
Qasr Al Hokm,Metro Station,14,4.7,46.7162486,24.6289512
Qasr Al Hokm,Metro Station,3,5,46.7162126,24.6289594
Al Hilla,Metro Station,1,5,46.721881,24.6322502
Al Hilla,Metro Station,5,3,46.7219079,24.6323319
Al Bat’ha,Metro Station,1,5,46.7147124,24.6369127
Al Bat’ha,Metro Station,1,5,46.7147663,24.6370352
Al Margab,Metro Station,,,46.7263187,24.6344958
Al Margab,Metro Station,2,5,46.7263636,24.6345611
As Salhiyah,Metro Station,1,5,46.7329123,24.6377619
As Salhiyah,Metro Station,,,46.7329752,24.6378354
National Museum,Metro Station,12,4.7,46.7131583,24.6452738
National Museum,Metro Station,9,4.8,46.7131583,24.6453391
First Industrial City,Metro Station,1,5,46.7394161,24.6451922
First Industrial City,Metro Station,1,5,46.7393173,24.6456167
Ministry of Finance,Metro Station,,,46.7163114,24.6521076
Ministry of Finance,Metro Station,3,4.3,46.7162845,24.6522219
Railway,Metro Station,,,46.7406288,24.6494052
Passport Department,Metro Station,2,5,46.7042201,24.6598064
Passport Department,Metro Station,2,5,46.704256,24.6598472
