Index,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Comments,التعليقات,Sequence of the stops,geo_point_2d
86,stc,stc,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,7,"24.72679705304654, 46.66687987819414"
21,Al Urubah,العروبة,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,9,"24.71321629407025, 46.67536633589778"
65,Ministry of Interior,وزارة الداخلية,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,13,"24.67424257882058, 46.6950479643063"
8,Al Bat'ha,البطحاء,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,,,17,"24.63793144884599, 46.71523382845812"
95,Transportation Center,مركز النقل العام,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,,,23,"24.59798690948253, 46.74514116213327"
7,Al Aziziah,العزيزية,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,,,24,"24.58613720640573, 46.76119639347265"
2,Ad Dar Al Baida,الدار البيضاء,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,,,25,"24.55958910448547, 46.77654712393894"
60,King Salman Oasis,واحة الملك سلمان,Line2,Red line,المسار الأحمر,1,Elevated,مرتفع,,,27,"24.71662928533406, 46.63877718460973"
35,At Takhassussi,التخصصي,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,,,29,"24.72340744244227, 46.65464898678899"
23,Al Wurud,الورود,Line2,Red line,المسار الأحمر,4,Deep Underground,تحت الأرض على عمق كبير,,,31,"24.73304010012863, 46.67749338636222"
29,An Nuzhah,النزهة,Line2,Red line,المسار الأحمر,2,At Grade,على مستوى الأرض,,,34,"24.74782156645681, 46.71311355644504"
47,Jeddah Road,طريق جده,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,41,"24.59121360322294, 46.54339421952785"
39,Dhahrat Al Badiah,ظهره البديعة,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,46,"24.6073754409049, 46.65497375326466"
13,Al Jarradiyah,الجرادية,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,,,48,"24.61845741064425, 46.69821822387604"
79,Railway,سكة الحديد,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,,,55,"24.64923336622137, 46.74124333488783"
53,Khashm Al An,خشم العان,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,,,62,"24.72156579731185, 46.86032645729338"
30,Ar Rabi,الربيع,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,,,64,"24.78629157966825, 46.66057921262878"
97,Uthman Bin Affan Road,طريق عثمان بن عفان,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,,,65,"24.80050291216557, 46.69634901482668"
91,Airport T3-4,الصالة 3-4,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 3-4"" to ""Airport T3-4"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 3-4"" إلى ""Airport T3-4"".",70,"24.95629864361232, 46.70322082727486"
89,Airport T1-2,الصالة 1-2,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 1-2"" to ""Airport T1-2"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 1-2"" إلى ""Airport T1-2"".",71,"24.96281541599763, 46.70002847728534"
69,National Museum,المتحف الوطني,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,,,72,"24.64607279558212, 46.71427983670233"
