Station_Name,Type_of_Utility,Number_of_Ratings,Longitude,Latitude,Metro line number,Metro line name,Station type,Match_Method,Rating
Abu Dhabi square,Metro Station,6,46.7163204,24.7060545,Line5,Green line,Deep Underground,exact/alias,4.2
Ad Dar Al Baida,Metro Station,8,46.7763009,24.5599956,Line1,Blue line,Elevated,exact/alias,4.9
Ad Dhabab,Metro Station,1,46.7075259,24.7097595,Line5,Green line,Deep Underground,exact/alias,5
Ad Douh,Metro Station,3,46.5883285,24.5827481,Line3,Orange line,Elevated,exact/alias,5
Airport T1-2,Metro Station,4,46.6989919,24.9609991,Line4,Yellow line,Elevated,exact/alias,2.5
Airport T3-4,Metro Station,6,46.7022528,24.9559904,Line4,Yellow line,Elevated,exact/alias,4.7
Airport T5,Metro Station,2,46.7102298,24.9408001,Line4,Yellow line,Elevated,exact/alias,5
Aishah bint Abi Bakr Street,Metro Station,1,46.6437994,24.6005633,Line3,Orange line,Elevated,exact/alias,5
Al Andalus,Metro Station,0,46.7903506,24.7567803,Line6,Purple line,Elevated,exact/alias,0
Al Aziziah,Metro Station,1,46.760823,24.5872573,Line1,Blue line,Elevated,exact/alias,4
Al Bat’ha,Metro Station,1,46.7147124,24.6369127,Line1,Blue line,Deep Underground,exact/alias,5
Al Hamra,Metro Station,0,46.7766872,24.775949,Line6,Purple line,Elevated,exact/alias,0
Al Hilla,Metro Station,1,46.721881,24.6322502,Line3,Orange line,Deep Underground,exact/alias,5
Al Iman Hospital,Metro Station,2,46.7358408,24.6005143,Line1,Blue line,Elevated,exact/alias,5
Al Jarradiyah,Metro Station,0,46.6974109,24.6182534,Line3,Orange line,Elevated,exact/alias,0
Al Khaleej,Metro Station,1,46.7940337,24.7818785,Line2,Red line,Shallow Underground,exact/alias,5
Al Malaz,Metro Station,2,46.7447701,24.6614228,Line3,Orange line,Deep Underground,exact/alias,5
Al Margab,Metro Station,0,46.7263187,24.6344958,Line3,Orange line,Deep Underground,exact/alias,0
Al Muorabba,Metro Station,0,46.7022887,24.6648026,Line1,Blue line,Deep Underground,exact/alias,0
Al Murooj,Metro Station,2,46.6544534,24.7545288,Line1,Blue line,Deep Underground,exact/alias,3
Al Owd,Metro Station,0,46.7215127,24.6255297,Line1,Blue line,Deep Underground,exact/alias,0
Al Rajhi Grand Mosque,Metro Station,0,46.779454,24.6801982,Line3,Orange line,Elevated,exact/alias,0
Al Urubah,Metro Station,2,46.6752135,24.7133582,Line1,Blue line,Deep Underground,exact/alias,3
Al Wizarat,Metro Station,2,46.7183955,24.6760189,Line5,Green line,Deep Underground,exact/alias,4.5
Al Wurud,Metro Station,1,46.6770012,24.7332599,Line2,Red line,Deep Underground,exact/alias,5
Al Wurud 2,Metro Station,1,46.6713508,24.7210533,Line1,Blue line,Deep Underground,exact/alias,2
Al Yarmuk,Metro Station,1,46.7662398,24.7912982,Line6,Purple line,Elevated,exact/alias,5
Alinma Bank,Metro Station,1,46.6804148,24.702986,Line1,Blue line,Deep Underground,exact/alias,4
An Naseem,Metro Station,7,46.8275319,24.7004315,Line6,Purple line,Shallow Underground,exact/alias,4.4
An Nuzhah,Metro Station,3,46.712269,24.7480677,Line2,Red line,At Grade,exact/alias,2.3
Ar Rabi,Metro Station,0,46.6601128,24.7862174,Line4,Yellow line,Elevated,exact/alias,0
As Salam,Metro Station,1,46.8112903,24.7226689,Line6,Purple line,Elevated,exact/alias,5
As Salhiyah,Metro Station,1,46.7329123,24.6377619,Line3,Orange line,Deep Underground,exact/alias,5
As Sulimaniyah,Metro Station,0,46.7003484,24.712787,Line5,Green line,Deep Underground,exact/alias,0
At Takhassussi,Metro Station,1,46.654669,24.7237623,Line2,Red line,Shallow Underground,exact/alias,5
Bank Albilad,Metro Station,3,46.6836577,24.6966365,Line1,Blue line,Deep Underground,exact/alias,5
Courts Complex,Metro Station,7,46.712296,24.6267301,Line3,Orange line,Deep Underground,exact/alias,3.3
Dhahrat Al Badiah,Metro Station,3,46.6537887,24.606738,Line3,Orange line,Elevated,exact/alias,4.3
Dr Sulaiman Al Habib,Metro Station,5,46.6257792,24.8114727,Line1,Blue line,Elevated,exact/alias,4.2
First Industrial City,Metro Station,1,46.7394161,24.6451922,Line3,Orange line,Deep Underground,exact/alias,5
Gosi,Metro Station,2,46.7181889,24.686271,Line5,Green line,Deep Underground,exact/alias,5
Granadia,Metro Station,3,46.7292023,24.7864457,Line6,Purple line,Elevated,exact/alias,4.7
Harun ar Rashid Road,Metro Station,0,46.795992,24.6860343,Line3,Orange line,Shallow Underground,exact/alias,0
Hassan Bin Thabit Street,Metro Station,0,46.8474565,24.7127625,Line3,Orange line,Shallow Underground,exact/alias,0
Ishbiliyah,Metro Station,4,46.8111286,24.7924073,Line2,Red line,At Grade,exact/alias,5
Jarir District,Metro Station,1,46.760293,24.6729904,Line3,Orange line,Elevated,exact/alias,5
Jeddah Road,Metro Station,4,46.5435474,24.5914477,Line3,Orange line,Elevated,exact/alias,4
KACST,Metro Station,1,46.6480934,24.7210125,Line2,Red line,Shallow Underground,exact/alias,4
KAFD,Metro Station,561,46.6430625,24.7674375,Line1,Blue line,Elevated,exact/alias,4.7
Khalid Bin Alwaleed Road,Metro Station,1,46.7588826,24.7676049,Line2,Red line,Shallow Underground,exact/alias,5
Khashm Al An,Metro Station,0,46.8603114,24.7212165,Line3,Orange line,Shallow Underground,exact/alias,0
Khurais Road,Metro Station,3,46.7987229,24.740717,Line6,Purple line,Elevated,exact/alias,4.3
King Abdulaziz Hospital,Metro Station,2,46.7177038,24.6596758,Line5,Green line,Deep Underground,exact/alias,4.5
King Abdulaziz Road,Metro Station,2,46.6854992,24.7367927,Line2,Red line,Shallow Underground,exact/alias,5
King Fahad District,Metro Station,2,46.6591427,24.745196,Line1,Blue line,Deep Underground,exact/alias,4.5
King Fahad District 2,Metro Station,3,46.6635085,24.7365806,Line1,Blue line,Deep Underground,exact/alias,5
King Fahad Library,Metro Station,1,46.6870353,24.6900745,Line1,Blue line,Deep Underground,exact/alias,5
King Fahad Sport City,Metro Station,4,46.8365959,24.7930679,Line2,Red line,At Grade,exact/alias,5
